[         0] [    DumpServer]                 9064/ DumpServer is active and waiting.
[        15] [         FiveM]             MainThrd/ --- BEGIN LOGGING AT Thu Jan 28 04:59:52 2021 ---
[       390] [         FiveM]             MainThrd/ hello from "Q:\Fivem\FiveM.exe" 
[       406] [         FiveM]             MainThrd/ Got ros:launcher process - pid 6912
[       531] [   ROSLauncher]             MainThrd/ hello from "Q:\Fivem\FiveM.app\cache\subprocess\FiveM_ROSLauncher" ros:launcher --parent_pid=10936 "C:\program files\rockstar games\launcher\launcher.exe" -noRecogniser
[       640] [   ROSLauncher]             MainThrd/ launcher! "Q:\Fivem\FiveM.app\cache\subprocess\FiveM_ROSLauncher" ros:launcher --parent_pid=10936 "C:\program files\rockstar games\launcher\launcher.exe" -noRecogniser
[       781] [    GTAProcess]             MainThrd/ CitizenFX Steam child starting - command line: "Q:\Fivem\FiveM.exe" 
[       797] [   ROSLauncher]             MainThrd/ Replacing function table list entry 0x140a11000 with 0x140a11000
[       828] [    GTAProcess]             MainThrd/ hello from "Q:\Fivem\FiveM.exe" 
[      1219] [   ROSLauncher]                 8372/ Got ROS service - pid 6844
[      1312] [    SteamChild]             MainThrd/ CitizenFX Steam child starting - command line: "Q:\Fivem\FiveM.app\cache\subprocess\FiveM_SteamChild.exe" -steamparent:8208
[      1312] [    SteamChild]             MainThrd/ Initializing Steam parent.
[      1328] [    SteamChild]             MainThrd/ Initializing Steam parent: Steam's running.
[      1328] [    ROSService]             MainThrd/ hello from "Q:\Fivem\FiveM.app\cache\subprocess\FiveM_ROSService" ros:service
[      1390] [    SteamChild]             MainThrd/ Initializing Steam parent: Initializing presence.
[      1406] [    SteamChild]             MainThrd/ Initializing Steam parent: Attempting to run processes.
[      1422] [    ROSService]             MainThrd/ service! "Q:\Fivem\FiveM.app\cache\subprocess\FiveM_ROSService" ros:service
[      1437] [    ROSService]             MainThrd/ Replacing function table list entry 0x140039000 with 0x140039000
[      1437] [    ROSService]             MainThrd/ SetServiceStatus: 4
[      1656] [    SteamChild]             MainThrd/ CitizenFX Steam child starting - command line: "Q:\Fivem\FiveM.app\cache\subprocess\FiveM_SteamChild.exe" -steamchild:10936
[      1656] [    SteamChild]             MainThrd/ game parent PID: 10936
[      1656] [    SteamChild]             MainThrd/ waiting for process to exit...
[      2203] [    GTAProcess]             MainThrd/ Replacing function table list entry 0x142e1c000 with 0x142e1c000
[      2219] [    GTAProcess]             MainThrd/ pre-gameload component fx
[      2219] [    GTAProcess]             MainThrd/ pre-gameload component rage:allocator:five
[      2219] [    GTAProcess]             MainThrd/ pre-gameload component steam
[      2234] [    GTAProcess]             MainThrd/ pre-gameload component vfs:core
[      2234] [    GTAProcess]             MainThrd/ pre-gameload component citizen:resources:core
[      2234] [    GTAProcess]             MainThrd/ pre-gameload component http-client
[      2250] [    GTAProcess]             MainThrd/ pre-gameload component rage:scripting:five
[      2250] [    GTAProcess]             MainThrd/ pre-gameload component scripting:gta
[      2250] [    GTAProcess]             MainThrd/ pre-gameload component conhost:v2
[      2328] [    GTAProcess]             MainThrd/ pre-gameload component citizen:scripting:core
[      2328] [    GTAProcess]             MainThrd/ pre-gameload component citizen:resources:client
[      2344] [    GTAProcess]             MainThrd/ pre-gameload component rage:device:five
[      2344] [    GTAProcess]             MainThrd/ pre-gameload component rage:nutsnbolts:five
[      2359] [    GTAProcess]             MainThrd/ Skipping XAudio2 patches - XAudio 2.7 is present.
[      2359] [    GTAProcess]             MainThrd/ pre-gameload component rage:input:five
[      2359] [    GTAProcess]             MainThrd/ pre-gameload component rage:graphics:five
[      2375] [    GTAProcess]             MainThrd/ pre-gameload component gta:core:five
[      2375] [    GTAProcess]             MainThrd/ pre-gameload component gta:game:five
[      2375] [    GTAProcess]             MainThrd/ pre-gameload component gta:mission-cleanup:five
[      2390] [    GTAProcess]             MainThrd/ pre-gameload component rage:formats:x
[      2390] [    GTAProcess]             MainThrd/ pre-gameload component gta:streaming:five
[      2390] [    GTAProcess]             MainThrd/ >16 GiB of system RAM, increasing streaming allocator size to 2 GiB
[      2406] [    GTAProcess]             MainThrd/ pre-gameload component citizen:level-loader:five
[      2406] [    GTAProcess]             MainThrd/ pre-gameload component citizen:resources:gta
[      2406] [    GTAProcess]             MainThrd/ pre-gameload component font-renderer
[      2422] [    GTAProcess]             MainThrd/ [FontRenderer] Initializing DirectWrite.
[      2422] [    GTAProcess]             MainThrd/ pre-gameload component nui:core
[      2422] [    GTAProcess]             MainThrd/ pre-gameload component scrbind:base
[      2437] [    GTAProcess]             MainThrd/ pre-gameload component nui:resources
[      2437] [    GTAProcess]             MainThrd/ pre-gameload component profiles
[      2437] [    GTAProcess]             MainThrd/ pre-gameload component net:base
[      2453] [    GTAProcess]             MainThrd/ pre-gameload component net:tcp-server
[      2453] [    GTAProcess]             MainThrd/ pre-gameload component net:http-server
[      2453] [    GTAProcess]             MainThrd/ pre-gameload component ros-patches:five
[      2469] [    GTAProcess]             MainThrd/ pre-gameload component net
[      2469] [    GTAProcess]             MainThrd/ pre-gameload component devcon
[      2484] [    GTAProcess]             MainThrd/ pre-gameload component voip:mumble
[      2484] [    GTAProcess]             MainThrd/ pre-gameload component gta:net:five
[      2484] [    GTAProcess]             MainThrd/ pre-gameload component citizen:legacy-net:resources
[      2500] [    GTAProcess]             MainThrd/ pre-gameload component debug:net
[      2500] [    GTAProcess]             MainThrd/ pre-gameload component citizen:game:ipc
[      2500] [    GTAProcess]             MainThrd/ pre-gameload component citizen:game:main
[      2515] [    GTAProcess]             MainThrd/ pre-gameload component asi:five
[      2515] [    GTAProcess]             MainThrd/ pre-gameload component scripthookv
[      2531] [    GTAProcess]             MainThrd/ pre-gameload component lovely-script
[      2531] [    GTAProcess]             MainThrd/ pre-gameload component extra-natives:five
[      2547] [    GTAProcess]             MainThrd/ pre-gameload component vfs:impl:rage
[      2547] [    GTAProcess]             MainThrd/ pre-gameload component glue
[      2562] [    GTAProcess]             MainThrd/ pre-gameload component loading-screens:five
[      2562] [    GTAProcess]             MainThrd/ pre-gameload component citizen:scripting:lua
[      2578] [    GTAProcess]             MainThrd/ pre-gameload component handling-loader:five
[      2578] [    GTAProcess]             MainThrd/ pre-gameload component nui:gsclient
[      2578] [    GTAProcess]             MainThrd/ pre-gameload component n19ui
[      2594] [    GTAProcess]             MainThrd/ pre-gameload component citizen:scripting:mono
[      2594] [    GTAProcess]             MainThrd/ pre-gameload component citizen:devtools
[      2609] [    GTAProcess]             MainThrd/ pre-gameload component nui:profiles
